# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	name	symbol	locus_tag	feature_interval_length	product_length	chromosome_name
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	1	1323	+	EAQ71949.1	chromosomal replication initiator protein DnaA	dnaA	CJJ81176_0027	1323	440.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	1483	2550	+	EAQ72015.1	DNA polymerase III, beta subunit	dnaN	CJJ81176_0028	1068	355.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	2579	4888	+	EAQ71991.1	DNA gyrase, B subunit	gyrB	CJJ81176_0029	2310	769.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	4914	5255	-	EAQ71901.1	hypothetical protein		CJJ81176_0030	342	113.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	5258	6496	-	EAQ72032.1	molybdopterin oxidoreductase family protein		CJJ81176_0031	1239	412.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	6707	8008	+	EAQ71947.1	Na+/H+ antiporter family protein		CJJ81176_0032	1302	433.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	8142	12629	+	EAQ72007.1	glutamate synthase, large subunit	gltB	CJJ81176_0033	4488	1495.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	12649	14370	+	EAQ71931.1	hypothetical protein		CJJ81176_0034	1722	573.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	14381	15826	+	EAQ71981.1	glutamate synthase, small subunit	gltD	CJJ81176_0035	1446	481.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	15827	16402	-	EAQ71905.1	ribonuclease HII	rnhB	CJJ81176_0036	576	191.0	CP000538.1
CDS	with_protein	GCA_000015525.1	Primary Assembly	chromosome		CP000538.1	16435	16674	-	EAQ71974.1	competence protein ComEA	comEA	CJJ81176_0037	240	79.0	CP000538.1
