ID	type	start	end	strand	locus_tag	symbol	entrezID
gene-Cj0001	protein_coding	1	1323	+	Cj0001	dnaA	904342
gene-Cj1063	protein_coding	1000729	1001154	+	Cj1063	Cj1063	905355
gene-5UTR_Cj1064	5UTR	1001190	1001217	+	Cj1064	5UTR_Cj1064	0
gene-Cj1066	protein_coding	1001837	1002442	+	Cj1066	rdxA	905357
gene-5UTR_Cj1067	5UTR	1002532	1002566	+	Cj1067	5UTR_Cj1067	0
gene-Cj1067	protein_coding	1002567	1003103	+	Cj1067	pgsA	905358
gene-Cj1068	protein_coding	1003100	1004206	+	Cj1068	Cj1068	905359
gene-Cj0090	protein_coding	100312	100680	+	Cj0090	Cj0090	904418
gene-Cj1069	protein_coding	1004199	1005065	+	Cj1069	Cj1069	905360
gene-5UTR_Cj1070	5UTR	1005092	1005151	+	Cj1070	5UTR_Cj1070	0
gene-Cj1070	protein_coding	1005152	1005529	+	Cj1070	rpsF	905361
gene-Cj1071	protein_coding	1005538	1006089	+	Cj1071	ssb	905362
gene-Cj1072	protein_coding	1006100	1006360	+	Cj1072	rpsR	905363
gene-Cj1073c	protein_coding	1006421	1008796	-	Cj1073c	lon	905364
gene-Cj0091	protein_coding	100704	101327	+	Cj0091	Cj0091	904419
gene-Cj1074c	protein_coding	1008813	1009460	-	Cj1074c	Cj1074c	905365
gene-5UTR_Cj1074c	5UTR	1009461	1009492	-	Cj1074c	5UTR_Cj1074c	0
gene-5UTR_Cj1075	5UTR	1009588	1009620	+	Cj1075	5UTR_Cj1075	0
gene-Cj1075	protein_coding	1009621	1010010	+	Cj1075	Cj1075	905366
gene-Cj1076	protein_coding	1010010	1010741	+	Cj1076	proC	905367
gene-Cj1077	protein_coding	1010738	1011040	+	Cj1077	ctsT	905368
gene-Cj1078	protein_coding	1011037	1011699	+	Cj1078	Cj1078	905369
gene-Cj1079	protein_coding	1011696	1012148	+	Cj1079	Cj1079	905370
gene-Cj1080c	protein_coding	1012145	1012774	-	Cj1080c	hemD	905371
gene-Cj1081c	protein_coding	1012752	1013384	-	Cj1081c	thiE	905372
gene-Cj1082c	protein_coding	1013374	1014186	-	Cj1082c	thiD	905373
gene-Cj0092	protein_coding	101410	102747	+	Cj0092	Cj0092	904420
gene-Cj1083c	protein_coding	1014183	1014869	-	Cj1083c	Cj1083c	905374
gene-Cj1084c	protein_coding	1014866	1015627	-	Cj1084c	Cj1084c	905375
gene-Cj1085c	protein_coding	1015629	1018565	-	Cj1085c	mfd	905376
gene-Cj1086c	protein_coding	1018565	1018960	-	Cj1086c	Cj1086c	905377
gene-Cj1087c	protein_coding	1018897	1019799	-	Cj1087c	Cj1087c	905378
gene-Cj1088c	protein_coding	1019786	1020970	-	Cj1088c	folC	905379
gene-5UTR_Cj1087c	5UTR	1019800	1019963	-	Cj1087c	5UTR_Cj1087c	0
gene-Cj1089c	protein_coding	1020936	1022333	-	Cj1089c	Cj1089c	905380
gene-Cj1090c	protein_coding	1022317	1022829	-	Cj1090c	Cj1090c	905381
gene-5UTR_Cj1089c	5UTR	1022334	1022585	-	Cj1089c	5UTR_Cj1089c	0
gene-Cj1091c	protein_coding	1022826	1025255	-	Cj1091c	leuS	905382
gene-5UTR_Cj0093	5UTR	102522	102756	+	Cj0093	5UTR_Cj0093	0
gene-Cj1092c	protein_coding	1025265	1026236	-	Cj1092c	secF	905383
gene-Cj1093c	protein_coding	1026236	1027816	-	Cj1093c	secD	905384
gene-Cj0093	protein_coding	102757	103959	+	Cj0093	Cj0093	904421
gene-Cj1094c	protein_coding	1027809	1028081	-	Cj1094c	yajC	905385
gene-5UTR_Cj1093c	5UTR	1027817	1027931	-	Cj1093c	5UTR_Cj1093c	0
gene-5UTR_Cj1095	5UTR	1027898	1028053	+	Cj1095	5UTR_Cj1095	0
gene-Cj1095	protein_coding	1028054	1029379	+	Cj1095	Cj1095	905386
gene-5UTR_Cj1094c	5UTR	1028082	1028111	-	Cj1094c	5UTR_Cj1094c	0
gene-Cj1096c	protein_coding	1029616	1030812	-	Cj1096c	metK	905387
gene-5UTR_Cj1096c	5UTR	1030813	1030836	-	Cj1096c	5UTR_Cj1096c	0
gene-Cj1097	protein_coding	1030953	1032176	+	Cj1097	Cj1097	905388
gene-Cj1098	protein_coding	1032186	1033073	+	Cj1098	pyrB	905389
gene-Cj1099	protein_coding	1033077	1034798	+	Cj1099	Cj1099	905390
gene-Cj1100	protein_coding	1034792	1035229	+	Cj1100	Cj1100	905391
gene-Cj1101	protein_coding	1035226	1037301	+	Cj1101	Cj1101	905392
gene-5UTR_Cj1102	5UTR	1037268	1037297	+	Cj1102	5UTR_Cj1102	0
gene-Cj1102	protein_coding	1037298	1038116	+	Cj1102	truB	905393
gene-5UTR_Cj1103	5UTR	1037935	1038109	+	Cj1103	5UTR_Cj1103	0
gene-Cj1103	protein_coding	1038110	1038337	+	Cj1103	csrA	905394
gene-Cj1104	protein_coding	1038334	1039101	+	Cj1104	Cj1104	905395
gene-5UTR_Cj1105	5UTR	1039038	1039097	+	Cj1105	5UTR_Cj1105	0
gene-Cj1105	protein_coding	1039098	1039550	+	Cj1105	smpB	905396
gene-5UTR_Cj1106	5UTR	1039404	1039560	+	Cj1106	5UTR_Cj1106	0
gene-Cj1106	protein_coding	1039561	1040163	+	Cj1106	Cj1106	905397
gene-5UTR_Cj1107	5UTR	1040086	1040162	+	Cj1107	5UTR_Cj1107	0
gene-Cj1107	protein_coding	1040163	1040453	+	Cj1107	clpS	905398
gene-5UTR_Cj0094	5UTR	104043	104117	+	Cj0094	5UTR_Cj0094	0
gene-Cj1108	protein_coding	1040450	1042579	+	Cj1108	clpA	905399
gene-Cj0094	protein_coding	104118	104426	+	Cj0094	rplU	904422
gene-5UTR_Cj1109	5UTR	1042435	1042553	+	Cj1109	5UTR_Cj1109	0
gene-Cj1109	protein_coding	1042554	1043201	+	Cj1109	aat	905400
gene-Cj1110c	protein_coding	1043223	1044512	-	Cj1110c	Cj1110c	905401
gene-Cj0095	protein_coding	104437	104691	+	Cj0095	rpmA	904423
gene-Cj1111c	protein_coding	1044593	1045219	-	Cj1111c	Cj1111c	905402
gene-Cj1112c	protein_coding	1045234	1045593	-	Cj1112c	Cj1112c	905403
gene-5UTR_Cj1112c	5UTR	1045594	1045614	-	Cj1112c	5UTR_Cj1112c	0
gene-5UTR_Cj1113	5UTR	1045637	1045682	+	Cj1113	5UTR_Cj1113	0
gene-Cj1113	protein_coding	1045683	1046480	+	Cj1113	Cj1113	905404
gene-Cj1114c	protein_coding	1046471	1047199	-	Cj1114c	pssA	905405
gene-5UTR_Cj1114c	5UTR	1047200	1047260	-	Cj1114c	5UTR_Cj1114c	0
gene-Cj1115c	protein_coding	1047209	1047826	-	Cj1115c	Cj1115c	905406
gene-Cj1116c	protein_coding	1047823	1049760	-	Cj1116c	ftsH	905407
gene-Cj0096	protein_coding	104798	105850	+	Cj0096	obgE	905891
gene-5UTR_Cj1116c	5UTR	1049761	1049887	-	Cj1116c	5UTR_Cj1116c	0
gene-Cj1117c	protein_coding	1049764	1050609	-	Cj1117c	prmA	905408
gene-Cj1118c	protein_coding	1050632	1051024	-	Cj1118c	cheY	905409
gene-5UTR_Cj1118c	5UTR	1051025	1051105	-	Cj1118c	5UTR_Cj1118c	0
gene-Cj1119c	protein_coding	1051137	1052030	-	Cj1119c	pglG	905410
gene-Cj1120c	protein_coding	1052030	1053802	-	Cj1120c	pglF	905411
gene-Cj1121c	protein_coding	1053804	1054964	-	Cj1121c	pglE	905412
gene-5UTR_Cj1121c	5UTR	1054965	1055001	-	Cj1121c	5UTR_Cj1121c	0
gene-Cj1122c	protein_coding	1055060	1055713	-	Cj1122c	Cj1122c	905413
gene-Cj1123c	protein_coding	1055670	1056257	-	Cj1123c	pglD	905414
gene-Cj1124c	protein_coding	1056244	1056846	-	Cj1124c	pglC	905415
gene-Cj1125c	protein_coding	1056839	1057969	-	Cj1125c	pglA	905416
gene-Cj1126c	protein_coding	1057979	1060120	-	Cj1126c	pglB	905417
gene-Cj0097	protein_coding	105955	106710	+	Cj0097	proB	904426
gene-Cj1127c	protein_coding	1060124	1061221	-	Cj1127c	pglJ	905418
gene-Cj1128c	protein_coding	1061209	1062138	-	Cj1128c	pglI	905419
gene-5UTR_Cj1127c	5UTR	1061222	1061262	-	Cj1127c	5UTR_Cj1127c	0
gene-Cj1129c	protein_coding	1062131	1063210	-	Cj1129c	pglH	905420
gene-Cj1130c	protein_coding	1063207	1064901	-	Cj1130c	pglK	905421
gene-Cj1131c	protein_coding	1064895	1065881	-	Cj1131c	gne	905422
gene-5UTR_Cj1131c	5UTR	1065882	1065911	-	Cj1131c	5UTR_Cj1131c	0
gene-Cj1132c	protein_coding	1065939	1066733	-	Cj1132c	Cj1132c	905423
gene-Cj1133	protein_coding	1066799	1067827	+	Cj1133	waaC	905424
gene-5UTR_Cj0098	5UTR	106759	106783	+	Cj0098	5UTR_Cj0098	0
gene-Cj1134	protein_coding	1067817	1068704	+	Cj1134	htrB	905425
gene-Cj0098	protein_coding	106784	107701	+	Cj0098	fmt	904427
gene-Cj1135	protein_coding	1068701	1070248	+	Cj1135	Cj1135	905426
gene-Cj1136	protein_coding	1070252	1071424	+	Cj1136	Cj1136	905427
gene-Cj1137c	protein_coding	1071408	1072403	-	Cj1137c	Cj1137c	905428
gene-Cj1138	protein_coding	1072461	1073630	+	Cj1138	Cj1138	905429
gene-Cj1139c	protein_coding	1073619	1074530	-	Cj1139c	wlaN	905430
gene-5UTR_Cj1140	5UTR	1074566	1074584	+	Cj1140	5UTR_Cj1140	0
gene-Cj1140	protein_coding	1074585	1075469	+	Cj1140	cstIII	905431
gene-Cj1141	protein_coding	1075450	1076481	+	Cj1141	neuB1	905432
gene-Cj1142	protein_coding	1076478	1077593	+	Cj1142	neuC1	905433
gene-Cj0099	protein_coding	107664	108317	+	Cj0099	birA	904428
gene-Cj1143	protein_coding	1077590	1079200	+	Cj1143	neuA1	905434
gene-Cj1145c	protein_coding	1079195	1080041	-	Cj1145c	Cj1145c	905436
gene-Cj1146c	protein_coding	1080025	1080849	-	Cj1146c	waaV	905437
gene-5UTR_Cj1145c	5UTR	1080042	1080162	-	Cj1145c	5UTR_Cj1145c	0
gene-5UTR_Cj1146c	5UTR	1080850	1080879	-	Cj1146c	5UTR_Cj1146c	0
gene-5UTR_Cj1148	5UTR	1080877	1080907	+	Cj1148	5UTR_Cj1148	0
gene-Cj1148	protein_coding	1080908	1081867	+	Cj1148	waaF	905438
gene-Cj1149c	protein_coding	1081848	1082408	-	Cj1149c	gmhA	905439
gene-5UTR_Cj0100	5UTR	108199	108313	+	Cj0100	5UTR_Cj0100	0
gene-Cj1150c	protein_coding	1082405	1083790	-	Cj1150c	hldE	905440
gene-Cj0100	protein_coding	108314	109099	+	Cj0100	Cj0100	904430
gene-Cj1151c	protein_coding	1083783	1084736	-	Cj1151c	hldD	905441
gene-Cj1152c	protein_coding	1084737	1085297	-	Cj1152c	gmhB	905442
gene-5UTR_Cj1151c	5UTR	1084737	1084990	-	Cj1151c	5UTR_Cj1151c	0
gene-5UTR_Cj1153	5UTR	1085349	1085378	+	Cj1153	5UTR_Cj1153	0
gene-Cj1153	protein_coding	1085379	1085681	+	Cj1153	Cj1153	905443
gene-Cj1154c	protein_coding	1085704	1085910	-	Cj1154c	Cj1154c	905444
